child_id,age,gender,language_level,cognitive_level,parental_support,session_id,timestamp,activity_type,task_difficulty,task_completion_time,success,hints_used,errors_made,movement_entropy,fidgeting_score,focus_duration,eye_tracking_score,speaking_turns,emotion_score,engagement_level,instruction_strategy,developmental_prediction
C002,55,F,Low,High,Moderate,C002_S01,2023-04-12,Reading,1,102.81,False,1,1,0.39,0.95,286.66,0.79,8,-0.01,0.25,Visual,On-track
C002,55,F,Low,High,Moderate,C002_S02,2023-05-24,Counting,2,138.04,False,0,0,0.23,0.76,196.92,0.55,2,0.64,0.76,Hands-on,On-track
C002,55,F,Low,High,Moderate,C002_S03,2023-05-30,Reading,5,158.86,True,3,3,0.53,0.38,220.37,0.62,5,0.53,0.86,Verbal,Advanced
C002,55,F,Low,High,Moderate,C002_S04,2023-02-05,Reading,1,207.5,True,1,0,0.58,0.44,246.57,0.99,4,-0.49,0.76,Visual,On-track
C002,55,F,Low,High,Moderate,C002_S05,2023-01-29,Drawing,1,161.7,True,1,3,0.35,0.95,270.37,0.73,4,0.17,0.26,Hands-on,At-risk
C002,55,F,Low,High,Moderate,C002_S06,2023-04-19,Puzzle,1,85.39,True,0,1,0.64,0.27,65.96,0.54,7,-0.18,0.82,Verbal,On-track
C002,55,F,Low,High,Moderate,C002_S07,2023-04-30,Counting,2,296.31,True,1,4,0.35,0.06,263.48,0.91,8,0.91,0.68,Mixed,Advanced
C002,55,F,Low,High,Moderate,C002_S08,2023-01-03,Puzzle,1,204.79,True,0,0,0.7,0.52,238.53,0.76,6,0.51,0.7,Hands-on,On-track
C002,55,F,Low,High,Moderate,C002_S09,2023-03-10,Counting,2,243.46,False,3,1,0.75,0.55,151.75,0.96,7,-0.91,0.7,Visual,On-track
C002,55,F,Low,High,Moderate,C002_S10,2023-04-27,Puzzle,2,105.34,True,0,0,0.22,0.13,71.01,0.57,6,-0.62,0.23,Mixed,Advanced
C002,55,F,Low,High,Moderate,C002_S11,2023-03-09,Drawing,5,110.07,True,0,2,0.9,0.13,119.13,0.66,4,-0.25,0.2,Hands-on,On-track
C002,55,F,Low,High,Moderate,C002_S12,2023-06-10,Counting,4,243.8,True,0,1,0.54,0.62,129.61,0.73,3,0.79,0.61,Mixed,On-track
C002,55,F,Low,High,Moderate,C002_S13,2023-02-20,Drawing,4,41.08,True,1,1,0.12,0.32,87.09,0.66,6,0.07,0.67,Verbal,On-track
C002,55,F,Low,High,Moderate,C002_S14,2023-05-16,Puzzle,1,173.69,True,0,2,0.55,0.33,282.1,0.5,4,0.61,0.24,Hands-on,On-track
C002,55,F,Low,High,Moderate,C002_S15,2023-01-29,Counting,1,33.27,True,2,4,0.25,0.67,280.93,0.78,5,0.02,0.39,Mixed,Advanced
C002,55,F,Low,High,Moderate,C002_S16,2023-03-20,Drawing,1,187.08,True,1,2,0.4,0.13,47.11,0.99,7,-0.3,0.94,Visual,Advanced
C002,55,F,Low,High,Moderate,C002_S17,2023-01-21,Puzzle,4,289.86,True,2,0,0.77,0.57,257.29,0.57,3,0.63,0.73,Hands-on,Advanced
C002,55,F,Low,High,Moderate,C002_S18,2023-05-17,Drawing,2,273.28,True,2,4,0.62,0.36,135.7,0.77,3,-0.33,0.78,Visual,On-track
C002,55,F,Low,High,Moderate,C002_S19,2023-05-21,Drawing,2,50.39,True,1,2,0.38,0.25,230.87,0.52,7,-0.21,0.84,Verbal,Advanced
C002,55,F,Low,High,Moderate,C002_S20,2023-04-19,Drawing,5,151.04,True,1,4,0.96,0.34,91.38,0.71,4,-0.49,0.78,Mixed,At-risk
C003,47,M,High,Medium,Moderate,C003_S01,2023-06-21,Counting,4,173.89,True,2,3,0.94,0.93,151.73,0.56,8,-0.33,0.84,Verbal,On-track
C003,47,M,High,Medium,Moderate,C003_S02,2023-01-31,Drawing,5,185.08,True,1,4,0.13,0.91,97.02,0.79,1,-0.38,0.82,Visual,On-track
C003,47,M,High,Medium,Moderate,C003_S03,2023-05-31,Drawing,3,193.36,True,1,2,0.18,1.0,165.59,0.8,4,-0.62,0.23,Hands-on,On-track
C003,47,M,High,Medium,Moderate,C003_S04,2023-06-11,Puzzle,3,29.06,True,1,2,0.24,0.18,262.68,0.97,4,-0.69,0.77,Visual,Advanced
C003,47,M,High,Medium,Moderate,C003_S05,2023-03-26,Puzzle,5,128.32,True,0,1,0.64,0.34,183.75,0.94,10,-0.83,0.71,Hands-on,On-track
C003,47,M,High,Medium,Moderate,C003_S06,2023-05-05,Drawing,1,70.29,True,0,4,0.33,0.38,189.38,0.63,7,0.74,0.59,Hands-on,At-risk
C003,47,M,High,Medium,Moderate,C003_S07,2023-05-27,Reading,1,150.59,True,2,2,0.22,0.9,216.63,0.84,5,-0.01,0.78,Visual,On-track
C003,47,M,High,Medium,Moderate,C003_S08,2023-04-15,Drawing,5,13.19,True,3,1,0.92,0.42,133.45,0.76,2,-0.83,0.68,Visual,At-risk
C003,47,M,High,Medium,Moderate,C003_S09,2023-04-01,Reading,2,29.79,False,2,4,0.54,0.27,175.76,0.58,7,-0.17,0.76,Verbal,Advanced
C003,47,M,High,Medium,Moderate,C003_S10,2023-01-14,Puzzle,2,143.31,True,0,0,0.97,0.01,57.84,0.66,10,0.27,0.98,Visual,At-risk
C003,47,M,High,Medium,Moderate,C003_S11,2023-01-28,Drawing,2,151.93,True,2,2,0.61,0.92,39.17,0.85,9,0.19,0.38,Visual,On-track
C003,47,M,High,Medium,Moderate,C003_S12,2023-02-05,Reading,4,149.51,False,1,3,0.7,0.74,170.45,0.71,4,-0.63,0.51,Visual,On-track
C003,47,M,High,Medium,Moderate,C003_S13,2023-01-20,Reading,3,30.31,True,0,0,0.13,0.48,186.8,0.64,3,0.46,0.2,Mixed,Advanced
C003,47,M,High,Medium,Moderate,C003_S14,2023-01-26,Puzzle,5,112.84,True,0,1,0.12,0.99,145.5,0.69,5,0.76,0.96,Hands-on,On-track
C003,47,M,High,Medium,Moderate,C003_S15,2023-01-04,Puzzle,3,272.08,False,1,2,0.85,0.12,42.68,0.69,5,0.04,0.68,Mixed,Advanced
C003,47,M,High,Medium,Moderate,C003_S16,2023-02-12,Reading,1,60.43,True,2,2,0.58,0.59,186.62,0.55,8,-0.83,0.53,Verbal,On-track
C003,47,M,High,Medium,Moderate,C003_S17,2023-04-13,Puzzle,3,219.79,True,0,2,0.87,0.5,159.76,0.8,11,0.39,0.74,Visual,On-track
C003,47,M,High,Medium,Moderate,C003_S18,2023-04-10,Counting,3,228.29,True,2,1,0.4,0.74,73.41,0.91,2,-0.43,0.69,Mixed,At-risk
C003,47,M,High,Medium,Moderate,C003_S19,2023-03-15,Reading,1,172.35,True,1,1,0.36,0.02,146.71,0.92,5,0.89,0.33,Hands-on,At-risk
C003,47,M,High,Medium,Moderate,C003_S20,2023-05-23,Reading,4,29.53,True,0,1,0.88,0.97,291.6,0.87,2,-0.96,0.46,Visual,On-track
C004,50,M,High,High,High,C004_S01,2023-01-16,Counting,3,83.23,True,0,2,0.87,0.53,253.0,0.65,6,0.46,0.93,Visual,On-track
C004,50,M,High,High,High,C004_S02,2023-05-09,Drawing,5,195.17,True,0,3,0.29,0.03,205.95,0.68,10,-0.93,0.94,Visual,On-track
C004,50,M,High,High,High,C004_S03,2023-02-17,Puzzle,3,63.78,True,0,2,0.6,0.23,73.42,0.83,5,0.36,0.52,Hands-on,At-risk
C004,50,M,High,High,High,C004_S04,2023-03-02,Reading,3,211.54,False,1,1,0.32,0.99,68.47,0.75,3,-0.35,0.61,Visual,Advanced
C004,50,M,High,High,High,C004_S05,2023-03-05,Puzzle,1,265.93,True,1,2,0.72,0.82,41.12,0.84,7,0.89,0.7,Hands-on,On-track
C004,50,M,High,High,High,C004_S06,2023-05-30,Counting,4,108.44,False,0,4,0.57,0.73,52.04,0.53,5,-0.64,0.83,Mixed,On-track
C004,50,M,High,High,High,C004_S07,2023-03-22,Drawing,3,56.89,True,1,2,0.46,0.22,142.97,0.6,9,0.03,0.67,Verbal,On-track
C004,50,M,High,High,High,C004_S08,2023-06-15,Counting,2,220.32,True,2,3,0.66,0.63,227.94,0.57,5,0.71,0.59,Verbal,Advanced
C004,50,M,High,High,High,C004_S09,2023-01-19,Puzzle,4,127.46,True,2,2,0.87,0.01,188.87,0.8,5,-0.1,0.74,Verbal,Advanced
C004,50,M,High,High,High,C004_S10,2023-01-26,Puzzle,1,134.96,True,2,1,0.76,0.66,158.15,0.92,5,-0.89,0.62,Hands-on,On-track
C004,50,M,High,High,High,C004_S11,2023-02-03,Counting,4,24.99,True,0,1,0.19,0.58,215.82,0.7,2,-0.35,0.98,Mixed,Advanced
C004,50,M,High,High,High,C004_S12,2023-04-05,Counting,3,151.77,True,0,0,0.38,0.7,84.5,0.84,5,0.39,0.87,Visual,Advanced
C004,50,M,High,High,High,C004_S13,2023-06-30,Counting,2,118.55,True,0,3,0.82,0.92,192.16,0.97,6,0.73,0.99,Hands-on,Advanced
C004,50,M,High,High,High,C004_S14,2023-06-17,Puzzle,5,236.89,True,2,3,0.82,0.44,250.82,0.56,1,-0.35,0.49,Hands-on,On-track
C004,50,M,High,High,High,C004_S15,2023-06-19,Puzzle,5,120.32,True,1,1,0.63,0.17,203.5,0.88,7,0.05,0.4,Mixed,On-track
C004,50,M,High,High,High,C004_S16,2023-01-30,Puzzle,4,186.29,True,3,1,0.68,0.9,95.74,0.96,3,-0.03,0.41,Hands-on,On-track
C004,50,M,High,High,High,C004_S17,2023-03-14,Drawing,4,204.33,False,1,0,0.75,0.4,293.72,0.91,5,0.59,0.35,Hands-on,On-track
C004,50,M,High,High,High,C004_S18,2023-06-12,Counting,4,133.11,True,1,1,0.1,0.64,169.1,0.8,7,-0.4,0.79,Hands-on,On-track
C004,50,M,High,High,High,C004_S19,2023-01-14,Puzzle,4,132.88,True,0,3,0.76,0.86,88.52,0.55,3,-0.54,0.51,Hands-on,Advanced
C004,50,M,High,High,High,C004_S20,2023-01-12,Puzzle,5,26.95,True,0,3,0.75,0.02,122.09,0.91,7,-0.27,0.47,Verbal,On-track
C005,39,F,Low,High,Moderate,C005_S01,2023-05-22,Reading,5,160.53,True,1,4,0.4,0.67,298.42,0.83,4,0.92,0.34,Hands-on,On-track
C005,39,F,Low,High,Moderate,C005_S02,2023-06-26,Drawing,1,59.44,True,1,0,0.37,0.98,158.22,0.69,2,0.47,0.81,Hands-on,Advanced
C005,39,F,Low,High,Moderate,C005_S03,2023-05-30,Drawing,1,254.19,True,1,1,0.84,0.78,221.36,0.52,3,0.87,0.64,Verbal,On-track
C005,39,F,Low,High,Moderate,C005_S04,2023-04-04,Puzzle,3,249.33,True,2,3,0.55,0.4,175.73,0.81,5,-0.35,0.22,Mixed,On-track
C005,39,F,Low,High,Moderate,C005_S05,2023-03-05,Puzzle,3,211.54,True,3,5,0.55,0.4,69.52,0.68,1,-0.73,0.97,Verbal,On-track
C005,39,F,Low,High,Moderate,C005_S06,2023-04-15,Drawing,4,235.25,True,3,1,0.12,0.6,128.5,0.69,5,-0.41,0.54,Mixed,On-track
C005,39,F,Low,High,Moderate,C005_S07,2023-02-11,Drawing,1,51.25,True,0,0,0.72,0.06,167.54,1.0,6,0.77,0.56,Mixed,On-track
C005,39,F,Low,High,Moderate,C005_S08,2023-03-27,Reading,5,112.73,True,1,2,0.22,0.42,243.39,0.79,6,-0.87,0.23,Mixed,Advanced
C005,39,F,Low,High,Moderate,C005_S09,2023-03-05,Counting,1,41.82,True,2,1,0.39,0.74,158.52,0.69,9,0.68,0.23,Visual,At-risk
C005,39,F,Low,High,Moderate,C005_S10,2023-04-08,Puzzle,4,236.54,False,1,1,0.9,0.45,268.26,0.55,3,0.49,0.73,Mixed,On-track
C005,39,F,Low,High,Moderate,C005_S11,2023-04-28,Counting,3,30.66,True,2,1,0.8,0.66,80.0,0.59,4,-0.84,0.97,Verbal,At-risk
C005,39,F,Low,High,Moderate,C005_S12,2023-02-28,Drawing,1,293.04,True,0,1,0.16,0.96,159.13,0.95,3,-0.03,0.94,Visual,On-track
C005,39,F,Low,High,Moderate,C005_S13,2023-03-26,Counting,4,55.43,True,0,1,0.44,0.55,134.94,0.58,4,0.98,0.74,Mixed,Advanced
C005,39,F,Low,High,Moderate,C005_S14,2023-03-13,Counting,1,84.95,True,1,3,0.15,0.32,233.36,0.63,4,0.93,0.59,Hands-on,On-track
C005,39,F,Low,High,Moderate,C005_S15,2023-05-18,Counting,4,222.51,True,1,2,0.89,0.64,235.5,0.58,1,-0.51,0.78,Mixed,On-track
C005,39,F,Low,High,Moderate,C005_S16,2023-03-08,Drawing,1,90.59,True,2,4,0.58,0.52,258.97,0.92,3,0.36,0.81,Hands-on,Advanced
C005,39,F,Low,High,Moderate,C005_S17,2023-01-10,Puzzle,3,298.94,True,1,3,0.73,0.0,197.29,0.68,5,0.16,0.65,Hands-on,On-track
C005,39,F,Low,High,Moderate,C005_S18,2023-03-22,Reading,4,25.31,True,1,0,0.39,0.64,70.23,0.85,6,0.47,0.39,Hands-on,On-track
C005,39,F,Low,High,Moderate,C005_S19,2023-04-09,Drawing,4,28.14,False,2,1,0.55,0.18,215.2,1.0,8,0.17,0.76,Verbal,At-risk
C005,39,F,Low,High,Moderate,C005_S20,2023-01-01,Drawing,3,96.63,False,0,3,0.82,0.46,160.4,0.57,6,0.22,0.31,Verbal,On-track
C006,66,F,High,Medium,High,C006_S01,2023-02-01,Counting,4,200.52,False,0,0,0.35,0.26,96.68,0.95,5,-0.02,0.23,Hands-on,At-risk
C006,66,F,High,Medium,High,C006_S02,2023-03-25,Reading,4,189.71,True,0,2,0.31,0.73,178.05,0.56,9,-0.32,0.45,Hands-on,On-track
C006,66,F,High,Medium,High,C006_S03,2023-02-19,Reading,5,186.47,True,0,1,0.33,0.85,181.53,0.76,3,0.42,0.63,Hands-on,On-track
C006,66,F,High,Medium,High,C006_S04,2023-02-14,Counting,2,150.56,True,3,3,0.56,0.81,153.99,0.53,4,0.51,0.62,Verbal,Advanced
C006,66,F,High,Medium,High,C006_S05,2023-03-19,Counting,5,201.29,True,0,4,0.18,0.34,106.26,0.7,4,-0.12,0.36,Visual,At-risk
C006,66,F,High,Medium,High,C006_S06,2023-06-05,Counting,4,161.77,True,2,4,0.73,0.79,115.53,0.93,5,0.79,0.72,Verbal,On-track
C006,66,F,High,Medium,High,C006_S07,2023-02-24,Reading,3,100.82,True,2,3,0.21,0.73,117.21,1.0,4,-0.94,0.86,Mixed,Advanced
C006,66,F,High,Medium,High,C006_S08,2023-02-13,Puzzle,2,33.03,True,0,4,0.52,0.82,154.0,0.68,6,-0.52,0.31,Verbal,At-risk
C006,66,F,High,Medium,High,C006_S09,2023-06-08,Counting,1,224.5,True,1,4,0.13,0.74,58.71,0.66,0,0.36,0.33,Visual,Advanced
C006,66,F,High,Medium,High,C006_S10,2023-03-02,Counting,4,75.88,False,0,3,0.29,0.03,112.07,0.83,9,-0.11,0.57,Visual,On-track
C006,66,F,High,Medium,High,C006_S11,2023-01-07,Puzzle,4,120.67,True,1,1,0.48,0.03,290.89,0.56,12,-0.76,0.25,Visual,On-track
C006,66,F,High,Medium,High,C006_S12,2023-01-19,Reading,1,80.15,True,1,2,0.77,0.05,273.78,0.93,4,-0.52,0.84,Verbal,At-risk
C006,66,F,High,Medium,High,C006_S13,2023-02-19,Reading,4,179.01,False,2,2,0.18,0.91,210.68,0.91,8,-0.11,0.69,Verbal,On-track
C006,66,F,High,Medium,High,C006_S14,2023-06-17,Puzzle,3,139.12,True,2,3,0.34,0.47,295.64,0.63,2,-0.92,0.68,Mixed,Advanced
C006,66,F,High,Medium,High,C006_S15,2023-01-28,Reading,3,50.61,True,1,1,0.65,0.28,85.89,0.76,0,-0.98,0.38,Visual,Advanced
C006,66,F,High,Medium,High,C006_S16,2023-06-28,Reading,3,254.74,True,1,1,0.14,0.28,250.5,0.64,4,0.35,0.24,Visual,On-track
C006,66,F,High,Medium,High,C006_S17,2023-02-01,Reading,3,48.13,True,1,4,0.84,0.96,251.72,0.5,3,0.21,0.75,Visual,On-track
C006,66,F,High,Medium,High,C006_S18,2023-05-16,Counting,2,202.93,False,1,3,0.39,0.75,141.42,0.82,5,-0.69,0.34,Mixed,Advanced
C006,66,F,High,Medium,High,C006_S19,2023-06-06,Reading,3,224.88,True,4,1,0.46,0.91,248.17,0.61,5,-0.84,0.63,Mixed,On-track
C006,66,F,High,Medium,High,C006_S20,2023-02-10,Reading,2,181.18,True,1,2,0.9,0.01,129.91,0.51,5,0.52,0.96,Verbal,At-risk
C007,54,F,High,Medium,High,C007_S01,2023-03-03,Counting,5,160.0,True,0,3,0.86,0.53,257.27,0.79,4,0.95,0.63,Verbal,At-risk
C007,54,F,High,Medium,High,C007_S02,2023-03-02,Counting,5,121.42,True,0,1,0.12,0.76,153.8,0.64,8,0.92,0.51,Verbal,Advanced
C007,54,F,High,Medium,High,C007_S03,2023-01-21,Drawing,5,291.52,True,2,1,0.85,0.36,253.24,0.85,5,-0.67,0.67,Visual,On-track
C007,54,F,High,Medium,High,C007_S04,2023-02-09,Drawing,5,138.77,True,1,5,0.46,0.04,158.4,0.77,8,0.59,0.42,Visual,On-track
C007,54,F,High,Medium,High,C007_S05,2023-05-19,Reading,2,283.77,True,2,3,0.28,0.76,134.37,0.76,10,0.71,0.55,Verbal,On-track
C007,54,F,High,Medium,High,C007_S06,2023-04-18,Reading,1,96.55,True,0,1,0.97,0.22,228.19,0.88,5,0.64,0.47,Mixed,On-track
C007,54,F,High,Medium,High,C007_S07,2023-06-28,Puzzle,3,71.1,False,0,4,0.76,0.83,229.93,0.57,7,-0.84,0.53,Mixed,At-risk
C007,54,F,High,Medium,High,C007_S08,2023-04-08,Reading,3,111.16,True,2,3,0.55,0.79,220.91,0.53,3,-0.44,0.84,Visual,On-track
C007,54,F,High,Medium,High,C007_S09,2023-04-10,Reading,3,16.39,True,2,0,0.29,0.42,235.1,0.59,8,-0.39,0.43,Hands-on,At-risk
C007,54,F,High,Medium,High,C007_S10,2023-06-04,Drawing,4,51.43,True,0,2,0.67,0.05,232.13,0.66,0,0.02,0.24,Verbal,On-track
C007,54,F,High,Medium,High,C007_S11,2023-05-05,Puzzle,1,28.18,False,0,2,0.19,0.36,103.01,0.92,7,0.37,0.6,Verbal,At-risk
C007,54,F,High,Medium,High,C007_S12,2023-04-14,Drawing,1,279.75,False,1,2,0.35,0.13,212.55,0.97,5,-0.23,0.89,Mixed,Advanced
C007,54,F,High,Medium,High,C007_S13,2023-06-09,Puzzle,3,142.73,True,1,0,0.79,0.42,251.99,0.93,6,-0.41,0.31,Mixed,On-track
C007,54,F,High,Medium,High,C007_S14,2023-06-19,Puzzle,4,224.19,True,1,2,0.36,0.37,45.68,0.56,3,-0.24,0.47,Visual,On-track
C007,54,F,High,Medium,High,C007_S15,2023-04-29,Drawing,1,46.07,True,1,2,0.52,0.96,170.14,0.84,6,0.54,0.85,Visual,On-track
C007,54,F,High,Medium,High,C007_S16,2023-02-24,Reading,2,62.7,True,0,2,0.68,0.57,183.38,0.83,7,-0.7,0.92,Verbal,At-risk
C007,54,F,High,Medium,High,C007_S17,2023-04-08,Counting,5,76.19,True,1,1,0.96,0.94,242.0,1.0,4,-0.61,0.31,Mixed,Advanced
C007,54,F,High,Medium,High,C007_S18,2023-03-06,Puzzle,2,255.69,True,0,3,0.68,0.81,285.8,0.67,6,-0.54,0.24,Verbal,At-risk
C007,54,F,High,Medium,High,C007_S19,2023-01-14,Counting,1,287.8,True,0,2,0.35,0.81,154.11,0.77,2,-0.11,0.37,Visual,On-track
C007,54,F,High,Medium,High,C007_S20,2023-06-16,Puzzle,3,205.56,True,2,1,0.67,0.5,139.8,0.98,5,-0.97,0.21,Mixed,Advanced
C008,64,M,Low,High,Low,C008_S01,2023-03-03,Drawing,3,112.96,True,2,3,0.31,0.46,240.96,0.98,8,0.62,0.34,Verbal,On-track
C008,64,M,Low,High,Low,C008_S02,2023-02-25,Reading,3,83.61,True,1,0,0.91,0.15,297.32,0.98,5,-0.88,0.56,Hands-on,At-risk
C008,64,M,Low,High,Low,C008_S03,2023-02-12,Puzzle,2,113.57,True,0,2,0.32,0.19,277.92,0.55,2,-0.93,0.34,Mixed,On-track
C008,64,M,Low,High,Low,C008_S04,2023-03-21,Puzzle,2,207.07,True,1,2,0.86,0.14,146.13,0.95,7,-0.41,0.68,Hands-on,Advanced
C008,64,M,Low,High,Low,C008_S05,2023-05-28,Reading,4,194.45,True,0,2,0.84,0.05,226.22,0.89,4,-0.42,0.94,Verbal,At-risk
C008,64,M,Low,High,Low,C008_S06,2023-01-20,Drawing,5,232.01,True,1,0,0.98,0.23,112.13,0.65,1,0.46,0.97,Visual,At-risk
C008,64,M,Low,High,Low,C008_S07,2023-06-25,Puzzle,3,202.28,True,1,1,0.74,0.82,79.04,0.69,7,0.09,0.77,Mixed,On-track
C008,64,M,Low,High,Low,C008_S08,2023-01-11,Counting,3,88.02,True,0,2,0.95,0.63,65.08,0.78,5,-0.64,0.28,Hands-on,At-risk
C008,64,M,Low,High,Low,C008_S09,2023-01-18,Counting,1,45.39,True,1,0,0.15,0.14,87.62,0.83,4,0.1,0.45,Visual,On-track
C008,64,M,Low,High,Low,C008_S10,2023-05-06,Puzzle,2,57.28,True,1,0,0.86,0.01,220.0,0.99,6,0.01,0.77,Verbal,On-track
C008,64,M,Low,High,Low,C008_S11,2023-04-28,Drawing,5,288.84,True,1,4,0.83,0.5,49.14,0.66,6,-0.96,0.51,Verbal,At-risk
C008,64,M,Low,High,Low,C008_S12,2023-06-16,Counting,5,112.36,True,0,2,0.81,0.29,146.85,0.84,3,0.28,0.74,Hands-on,Advanced
C008,64,M,Low,High,Low,C008_S13,2023-05-04,Reading,3,237.73,True,1,2,0.51,0.98,57.84,0.77,5,-0.85,0.68,Verbal,At-risk
C008,64,M,Low,High,Low,C008_S14,2023-03-10,Counting,2,150.08,True,0,3,0.17,0.95,110.27,0.55,4,0.93,0.4,Mixed,Advanced
C008,64,M,Low,High,Low,C008_S15,2023-01-23,Counting,2,140.7,True,1,1,0.26,0.12,151.25,0.81,2,0.54,0.7,Mixed,On-track
C008,64,M,Low,High,Low,C008_S16,2023-04-29,Reading,1,24.64,True,1,2,0.75,0.62,229.64,0.61,5,0.61,0.89,Verbal,On-track
C008,64,M,Low,High,Low,C008_S17,2023-03-25,Drawing,4,135.98,True,0,3,0.74,0.09,83.8,0.94,2,-0.57,0.42,Verbal,On-track
C008,64,M,Low,High,Low,C008_S18,2023-03-08,Counting,2,28.13,True,2,0,0.96,0.84,247.37,0.91,7,-0.26,0.94,Verbal,On-track
C008,64,M,Low,High,Low,C008_S19,2023-03-12,Puzzle,3,166.12,True,1,4,0.73,0.43,149.49,0.82,4,-0.96,0.44,Hands-on,On-track
C008,64,M,Low,High,Low,C008_S20,2023-03-03,Reading,5,146.16,True,0,2,0.47,0.92,60.21,0.76,7,0.85,0.55,Verbal,At-risk
C009,58,F,High,High,Moderate,C009_S01,2023-04-25,Puzzle,1,113.5,True,2,3,0.56,0.94,266.61,0.55,8,-0.12,0.69,Visual,On-track
C009,58,F,High,High,Moderate,C009_S02,2023-06-27,Drawing,5,143.16,True,1,3,0.58,0.79,110.13,0.77,6,-0.76,0.37,Verbal,On-track
C009,58,F,High,High,Moderate,C009_S03,2023-05-02,Counting,3,81.15,True,1,2,0.6,0.42,145.81,0.77,7,-0.77,0.68,Verbal,At-risk
C009,58,F,High,High,Moderate,C009_S04,2023-03-26,Counting,5,107.79,True,1,2,0.56,0.42,34.89,0.9,5,-0.98,0.78,Hands-on,On-track
C009,58,F,High,High,Moderate,C009_S05,2023-03-06,Drawing,1,144.87,False,0,0,0.36,0.53,167.85,0.91,2,-0.18,0.72,Visual,On-track
C009,58,F,High,High,Moderate,C009_S06,2023-01-31,Drawing,2,271.51,True,0,4,0.68,0.07,131.38,0.9,5,-0.25,0.25,Visual,At-risk
C009,58,F,High,High,Moderate,C009_S07,2023-03-12,Counting,4,144.63,True,2,2,0.1,0.8,238.66,0.77,7,0.34,0.7,Mixed,Advanced
C009,58,F,High,High,Moderate,C009_S08,2023-03-17,Drawing,5,122.12,True,0,1,0.33,0.61,146.95,0.89,8,0.2,0.89,Verbal,On-track
