Child_ID,Age,Parental_Education,Screen_Time_Hours,Play_Time_Hours,Sleep_Hours,Cognitive_Score
5048,6,High School,5.9,1.6,7.6,7.92
5049,10,PhD,0.3,0.8,12.0,9.85
5050,11,PhD,4.3,0.5,7.1,6.37
5051,5,PhD,3.5,1.4,7.3,8.3
5052,9,PhD,3.0,1.4,7.7,6.59
5053,11,Masters,5.8,1.6,11.9,10.54
5054,4,PhD,0.8,2.9,11.9,10.24
5055,6,Masters,5.4,1.8,10.8,9.03
5056,5,Masters,4.1,1.8,9.8,9.2
5057,10,High School,1.6,0.4,9.1,9.03
5058,6,High School,5.4,3.0,11.8,8.13
5059,11,Bachelors,2.6,2.3,10.2,10.07
5060,3,PhD,4.9,2.6,11.7,9.78
5061,3,PhD,2.3,1.2,7.9,7.42
5062,6,High School,5.1,1.5,8.0,6.88
5063,5,High School,3.8,1.6,11.1,8.83
5064,5,High School,0.8,0.6,6.9,6.48
5065,4,Bachelors,3.9,2.1,11.7,11.25
5066,4,PhD,1.1,2.7,9.0,10.68
5067,10,Bachelors,2.5,0.5,11.6,9.74
5068,3,Masters,1.0,0.3,8.0,7.87
5069,10,Masters,0.1,2.2,10.3,9.56
5070,5,PhD,1.3,0.8,8.9,9.3
5071,4,High School,3.2,1.9,9.8,10.61
5072,11,High School,2.9,2.1,9.0,8.08
5073,7,Bachelors,3.0,1.0,11.8,8.3
5074,7,Masters,1.5,2.4,10.2,11.05
5075,8,Masters,4.1,1.6,7.5,5.87
5076,6,PhD,4.2,2.6,11.5,8.53
5077,9,Masters,2.1,2.3,7.8,8.14
5078,9,High School,5.3,2.6,8.2,6.44
5079,11,High School,3.9,0.1,6.6,8.0
5080,8,High School,4.3,0.7,11.4,9.77
5081,3,PhD,1.7,0.3,7.7,7.26
5082,11,Bachelors,0.0,1.3,7.6,9.71
5083,11,Masters,5.2,2.7,11.5,10.82
5084,7,PhD,4.9,1.4,10.8,8.65
5085,9,Bachelors,0.7,2.5,6.8,7.88
5086,3,PhD,2.2,1.0,10.6,11.36
5087,6,Masters,4.0,1.0,11.5,9.82
5088,6,High School,3.9,2.7,6.5,7.89
5089,7,Bachelors,5.2,1.3,11.0,10.11
5090,8,Bachelors,0.8,2.4,9.3,9.58
5091,6,PhD,2.6,0.7,10.0,8.18
5092,8,PhD,0.6,2.8,9.0,9.4
5093,9,High School,2.3,1.7,10.2,10.17
5094,5,PhD,0.1,2.3,6.2,6.16
5095,11,Masters,5.4,0.3,10.6,7.96
5096,10,Masters,3.2,1.5,6.2,8.67
5097,3,Masters,5.1,2.7,8.7,7.76
5098,4,Masters,0.4,2.6,6.9,10.01
5099,4,High School,1.4,0.1,10.9,10.52
5100,11,High School,1.6,0.9,7.9,8.04
5101,11,High School,2.3,1.3,8.7,7.84
5102,11,PhD,4.8,0.5,8.6,7.34
5103,3,High School,2.3,2.2,10.6,12.1
5104,9,Bachelors,1.2,0.6,8.9,10.37
5105,5,Bachelors,0.4,1.0,10.7,9.63
5106,11,Bachelors,0.5,2.0,6.4,7.45
5107,10,PhD,4.6,1.4,7.1,7.46
5108,5,PhD,2.7,2.2,9.3,9.08
5109,3,High School,4.4,2.9,11.7,8.43
5110,11,Masters,4.1,0.3,6.4,6.91
5111,3,Bachelors,0.8,2.1,6.3,9.31
5112,5,PhD,0.9,0.7,6.9,5.99
5113,8,Bachelors,4.5,1.2,9.8,9.21
5114,8,High School,4.3,0.1,8.4,8.9
5115,6,PhD,2.3,0.4,11.0,8.5
5116,4,Masters,0.5,1.0,6.4,9.45
5117,8,Masters,0.1,1.0,7.2,7.47
5118,7,PhD,1.7,2.7,7.8,9.03
5119,8,Masters,0.1,2.2,9.8,9.25
5120,9,High School,1.4,2.9,10.1,9.32
5121,11,Masters,2.5,1.8,6.7,7.1
5122,9,Bachelors,0.7,0.7,11.7,10.45
5123,6,Bachelors,0.6,1.0,8.0,9.23
5124,7,Bachelors,5.4,1.0,10.3,8.28
5125,8,PhD,3.5,1.0,9.1,6.88
5126,11,PhD,5.6,2.0,7.3,7.8
5127,7,PhD,2.1,1.6,11.1,9.92
5128,7,PhD,4.1,1.2,10.9,8.68
5129,9,PhD,1.2,0.4,8.4,10.11
5130,4,High School,3.7,0.1,9.5,6.53
5131,5,PhD,0.8,0.7,7.5,5.83
5132,4,Masters,0.0,0.3,10.1,8.4
5133,4,High School,5.6,2.4,7.9,8.47
5134,5,PhD,3.3,0.3,11.1,7.81
5135,8,Masters,5.6,2.2,7.3,6.48
5136,7,High School,2.0,1.2,6.1,8.35
5137,7,Bachelors,2.0,0.2,7.6,8.16
5138,4,High School,2.4,2.4,7.1,8.46
5139,4,PhD,4.2,1.7,9.0,9.05
5140,3,High School,3.4,0.7,7.2,6.98
5141,5,High School,5.6,2.7,10.6,8.55
5142,9,Bachelors,0.2,0.1,7.4,8.76
5143,7,High School,4.2,0.6,10.2,7.08
5144,9,High School,2.0,2.3,9.5,6.95
5145,11,Bachelors,1.1,2.1,11.9,9.74
5146,8,PhD,3.1,0.9,12.0,10.38
5147,4,Masters,3.0,0.2,11.2,9.2
5148,3,High School,0.8,2.6,10.6,10.72
5149,3,Bachelors,1.2,0.9,8.3,6.33
5150,11,High School,2.4,0.6,10.5,9.22
5151,8,PhD,2.5,1.5,11.7,10.28
5152,8,PhD,1.9,2.7,6.1,6.52
5153,6,Bachelors,0.9,0.1,9.2,9.39
5154,4,Masters,0.0,2.3,7.3,8.5
5155,5,Masters,5.8,1.7,9.3,11.14
5156,5,High School,5.7,1.3,8.8,5.59
5157,10,Bachelors,2.9,2.2,9.5,10.25
5158,8,Masters,6.0,2.9,9.3,8.0
5159,9,PhD,4.0,0.7,11.8,7.51
5160,11,Masters,0.4,0.4,9.3,8.23
5161,3,Bachelors,0.7,2.7,11.1,10.39
5162,4,PhD,5.5,2.0,7.9,8.7
5163,11,High School,3.8,1.3,8.6,9.79
5164,7,PhD,5.1,1.7,8.8,9.43
5165,6,Masters,5.4,2.2,7.7,6.69
5166,3,Masters,2.7,2.3,8.3,9.6
5167,11,Masters,0.3,2.8,9.6,10.01
5168,11,High School,1.1,1.3,9.5,8.32
5169,6,Masters,0.4,0.9,9.8,8.9
5170,11,Bachelors,1.1,1.9,8.1,7.88
5171,3,High School,2.5,1.2,7.9,8.06
5172,7,PhD,0.7,1.8,9.7,8.55
5173,3,Masters,1.0,1.3,6.8,6.88
5174,6,Bachelors,2.7,0.5,7.5,8.09
5175,7,Bachelors,2.0,1.4,6.3,8.17
5176,5,High School,2.8,2.1,6.4,7.44
5177,4,Bachelors,2.6,2.4,7.5,9.57
5178,8,High School,3.9,1.5,6.1,6.85
5179,5,High School,5.6,0.5,7.5,6.73
5180,3,High School,0.6,1.2,9.9,9.86
5181,7,PhD,0.6,2.4,6.4,8.03
5182,4,PhD,5.1,1.2,8.6,7.86
5183,4,Bachelors,3.0,2.1,11.5,7.11
5184,6,PhD,4.6,1.5,10.7,8.83
5185,6,High School,1.3,0.7,7.8,6.24
5186,6,High School,5.0,2.4,11.5,8.1
5187,9,PhD,5.5,0.3,8.0,5.85
5188,3,Bachelors,3.8,1.6,6.4,6.24
5189,10,High School,0.6,0.6,12.0,9.31
5190,11,PhD,5.4,0.2,11.2,7.97
5191,8,Masters,4.8,1.5,8.8,8.67
5192,6,Bachelors,4.5,1.5,10.0,8.77
5193,8,Bachelors,0.2,2.1,10.0,7.69
5194,9,Bachelors,4.8,2.2,7.2,7.66
5195,8,Masters,0.8,2.2,7.2,8.7
5196,3,High School,1.3,1.2,8.8,8.29
5197,7,Bachelors,3.5,1.9,11.5,9.41
5198,10,PhD,1.6,1.7,6.1,7.82
5199,10,Bachelors,4.0,1.3,10.7,9.63
5200,11,PhD,3.6,1.8,6.3,5.77
5201,6,Bachelors,0.6,2.8,8.9,9.04
5202,8,PhD,3.9,0.6,9.8,9.83
5203,9,PhD,5.5,2.7,10.1,10.17
5204,7,PhD,1.0,0.2,6.4,8.27
5205,10,Masters,3.6,0.9,8.5,8.49
5206,5,Masters,2.1,0.9,9.5,10.3
5207,10,Masters,2.8,1.9,6.4,9.49
5208,7,High School,1.7,0.4,6.8,7.37
5209,3,PhD,2.1,2.6,10.0,8.39
5210,8,High School,0.2,2.5,9.1,9.08
5211,4,Masters,5.9,2.0,7.0,10.32
5212,9,PhD,3.7,1.4,9.2,6.79
5213,11,High School,3.0,2.8,11.5,9.37
5214,5,Masters,2.3,2.5,6.1,6.32
5215,6,High School,3.2,1.5,9.9,8.89
5216,6,High School,2.3,2.1,6.4,6.53
5217,6,Masters,2.2,1.7,6.0,7.36
5218,5,PhD,2.8,1.8,6.9,5.79
5219,7,Bachelors,1.7,1.0,8.5,8.98
5220,11,Bachelors,1.1,1.4,10.8,10.74
5221,10,High School,3.3,0.2,7.7,7.1
5222,4,High School,5.1,1.1,9.8,8.09
5223,11,High School,0.9,2.1,8.5,8.69
5224,4,PhD,0.2,2.9,7.4,8.97
5225,9,High School,1.5,2.9,9.1,9.17
5226,7,High School,5.9,1.7,10.8,9.42
5227,9,High School,5.0,1.8,11.0,10.17
5228,7,Masters,3.6,0.6,11.1,8.09
5229,8,Bachelors,5.6,2.1,8.0,7.4
5230,10,Bachelors,2.7,0.2,10.8,9.74
5231,3,Masters,5.9,0.9,7.3,5.59
5232,3,PhD,1.8,2.0,10.4,7.43
5233,7,PhD,1.4,0.9,11.7,9.9
5234,3,PhD,3.8,0.1,6.1,7.21
5235,5,Masters,2.3,2.5,8.6,8.01
5236,11,Bachelors,3.8,0.9,9.9,7.89
5237,9,Bachelors,1.8,0.2,10.2,8.02
5238,8,High School,3.7,0.2,7.1,6.29
5239,10,Bachelors,1.7,0.8,11.8,10.31
5240,10,PhD,0.3,0.5,9.7,7.79
5241,8,PhD,5.5,2.3,7.0,7.12
5242,6,High School,5.3,1.0,6.1,5.77
5243,6,High School,5.8,2.4,10.7,7.38
5244,6,Bachelors,4.3,0.5,6.5,7.76
5245,8,High School,4.1,1.5,6.8,6.83
5246,3,High School,3.4,2.1,9.4,8.9
5247,4,Masters,0.8,2.0,9.6,7.77
5248,8,Bachelors,1.1,1.8,10.1,8.62
5249,3,PhD,1.7,2.8,8.4,9.62
5250,11,Masters,5.3,0.7,10.6,10.98
5251,8,PhD,1.0,1.5,11.8,7.99
5252,9,High School,5.5,2.7,7.6,7.55
5253,3,High School,3.1,0.2,10.2,8.93
5254,10,PhD,4.3,0.2,11.6,8.22
5255,7,Masters,0.7,0.7,10.1,9.96
5256,7,Masters,1.6,1.9,10.1,8.42
5257,8,Masters,5.8,0.8,7.3,7.15
5258,9,High School,1.6,0.6,9.2,8.02
5259,9,Bachelors,1.8,1.4,9.4,10.04
5260,7,High School,1.2,1.8,10.2,8.7
5261,3,PhD,0.8,0.7,12.0,9.5
5262,11,Masters,1.4,0.9,6.2,8.42
5263,8,Bachelors,3.9,1.8,6.4,6.29
5264,11,Masters,2.7,2.8,6.5,7.97
5265,6,High School,3.3,2.0,10.5,7.32
5266,4,Bachelors,0.7,2.3,6.8,7.18
5267,5,Bachelors,4.8,1.1,9.7,8.63
5268,6,High School,4.7,0.8,7.9,6.47
5269,10,Masters,0.1,1.4,8.7,8.34
5270,5,Masters,2.3,2.4,7.3,8.67
5271,10,Masters,0.4,1.4,11.2,9.24
5272,8,High School,4.8,2.5,9.5,9.41
5273,6,PhD,4.4,3.0,11.7,9.92
5274,9,PhD,5.4,0.2,9.4,8.18
5275,7,Masters,1.4,0.1,6.7,8.67
5276,7,Bachelors,2.7,0.4,7.0,7.7
5277,11,PhD,1.1,1.2,11.9,11.44
5278,5,Masters,2.2,0.4,10.4,9.75
5279,6,PhD,3.1,2.6,6.3,7.16
5280,7,Masters,0.3,0.1,10.2,10.34
5281,3,PhD,4.3,0.9,8.5,8.07
5282,9,PhD,3.3,0.6,7.8,7.25
5283,10,Bachelors,5.0,2.8,6.9,7.88
5284,8,Bachelors,1.6,2.0,11.0,10.79
5285,11,PhD,5.4,2.7,6.4,7.75
5286,5,Masters,6.0,2.9,7.7,9.57
5287,4,Bachelors,5.5,1.5,7.8,8.56
5288,7,High School,4.7,0.7,7.0,7.59
5289,11,Bachelors,4.9,0.6,9.0,6.77
5290,3,PhD,3.4,0.7,6.1,6.79
5291,3,PhD,1.1,2.1,7.8,8.6
5292,5,High School,4.1,0.1,11.6,9.55
5293,5,Bachelors,4.3,0.2,7.9,8.0
5294,7,PhD,5.9,1.8,8.2,7.81
5295,6,High School,3.2,1.9,8.8,8.57
5296,8,High School,1.6,2.0,9.4,9.76
5297,10,Masters,4.1,1.1,10.9,8.01
5298,10,Bachelors,5.9,2.4,7.1,9.08
5299,6,Bachelors,1.1,1.6,11.2,7.69
5300,3,Bachelors,2.0,0.3,10.5,10.35
5301,9,PhD,3.3,2.4,10.3,9.13
5302,8,High School,1.0,2.9,6.5,9.27
5303,7,Masters,0.1,0.2,6.1,7.84
5304,6,Bachelors,2.0,1.2,9.6,9.15
5305,8,Masters,5.2,1.5,11.2,9.44
5306,10,Masters,0.3,0.4,9.5,9.67
5307,8,High School,2.6,2.6,7.3,7.85
5308,5,Bachelors,4.6,0.9,6.5,7.98
5309,11,Masters,5.7,2.3,10.2,7.55
5310,5,Bachelors,5.9,2.0,10.3,8.53
5311,6,Bachelors,2.5,1.8,7.0,8.68
5312,7,Bachelors,5.7,0.6,6.2,7.52
5313,4,Masters,0.2,0.7,8.4,8.99
5314,4,High School,4.5,0.1,9.5,7.54
5315,8,High School,3.9,0.7,10.2,9.41
5316,4,Masters,1.5,1.0,10.9,8.69
5317,3,PhD,3.0,2.5,9.7,10.78
5318,10,Bachelors,0.8,1.1,6.7,7.77
5319,3,Bachelors,5.2,2.3,10.1,7.15
5320,8,High School,2.1,1.3,11.9,8.54
5321,3,Masters,3.8,2.4,11.4,9.56
5322,10,Masters,1.0,2.9,11.2,10.29
5323,7,PhD,1.2,0.7,7.8,10.06
5324,5,PhD,6.0,2.6,10.5,7.74
5325,7,High School,4.5,1.9,11.1,9.15
5326,3,PhD,5.8,2.5,10.1,7.57
5327,3,PhD,1.8,2.0,7.5,7.75
5328,6,Masters,1.0,1.3,11.7,11.55
5329,11,Masters,3.0,0.7,8.7,6.95
5330,11,PhD,3.0,0.2,6.8,7.77
5331,3,High School,1.0,1.6,6.7,8.35
5332,5,PhD,4.4,3.0,9.9,8.96
5333,6,High School,2.2,2.2,8.6,9.18
5334,4,PhD,1.1,1.0,6.6,6.56
5335,9,Masters,2.0,2.5,10.4,11.17
5336,5,Masters,3.4,2.3,10.8,11.25
5337,3,High School,4.4,0.8,10.4,8.57
5338,3,PhD,2.9,0.0,7.2,9.72
5339,5,PhD,3.2,0.4,10.1,8.12
5340,8,High School,0.8,2.6,6.1,8.46
5341,6,PhD,5.5,2.5,7.8,9.2
5342,3,Bachelors,5.6,0.9,8.4,7.05
5343,9,Masters,4.1,0.9,11.0,7.47
5344,4,Masters,0.1,2.4,8.3,7.41
5345,7,High School,3.2,2.8,6.1,9.7
5346,10,PhD,3.8,2.3,8.1,7.64
5347,9,High School,6.0,1.8,9.0,7.75
5348,10,Bachelors,6.0,0.7,11.7,7.58
5349,8,PhD,5.1,1.6,11.6,10.05
5350,9,Bachelors,0.4,0.7,7.1,7.19
5351,11,High School,5.7,2.4,7.1,6.93
5352,8,Masters,3.7,1.2,7.0,7.72
5353,11,Bachelors,4.8,2.5,10.7,8.01
5354,4,PhD,2.4,1.1,6.0,7.07
5355,4,High School,1.9,2.5,6.8,9.49
5356,4,High School,2.8,1.0,9.2,8.85
5357,8,High School,0.9,1.3,7.5,8.34
5358,4,Masters,2.1,1.8,6.6,7.97
5359,5,High School,5.1,0.2,8.2,6.93
5360,10,High School,0.2,2.8,7.6,10.84
5361,10,Masters,0.9,1.7,9.1,8.16
5362,6,High School,0.8,1.5,11.9,10.26
5363,11,High School,2.4,2.5,6.7,8.07
5364,10,Bachelors,6.0,2.6,8.2,8.87
5365,3,High School,1.0,1.6,11.6,11.02
5366,10,Masters,0.9,2.8,11.3,10.15
5367,3,Bachelors,5.5,0.2,8.4,7.61
5368,6,High School,5.3,0.3,10.2,8.44
5369,8,Masters,0.2,1.8,6.5,5.83
5370,9,PhD,4.5,1.1,10.3,6.96
5371,6,High School,3.9,1.4,11.8,8.75
5372,10,PhD,4.6,1.0,9.2,7.5
5373,10,Bachelors,3.0,1.2,9.0,7.16
5374,11,Masters,5.9,2.5,7.1,8.16
5375,8,Bachelors,0.3,1.8,9.8,9.4
5376,6,PhD,1.4,3.0,9.5,9.21
5377,4,PhD,2.4,2.4,9.9,7.94
5378,9,PhD,2.7,0.8,6.2,7.14
5379,5,Masters,5.5,0.8,9.3,5.23
5380,5,PhD,3.4,1.0,9.6,8.3
5381,5,PhD,0.3,2.5,7.2,8.63
5382,6,Masters,2.4,0.1,7.2,7.67
5383,4,PhD,2.5,0.7,7.7,6.23
5384,7,High School,5.8,2.7,10.3,8.99
5385,5,PhD,3.6,1.9,9.6,7.65
5386,7,Masters,3.8,0.7,11.1,8.08
5387,9,PhD,4.3,0.7,7.8,8.19
5388,11,Masters,4.6,2.6,11.5,11.47
5389,4,PhD,3.8,2.7,10.5,9.3
5390,11,High School,1.4,0.8,8.4,7.5
5391,8,Masters,5.2,1.3,6.6,7.18
5392,8,Masters,4.4,2.5,7.5,8.81
5393,5,Masters,4.5,2.3,11.7,10.09
5394,11,Masters,6.0,2.4,7.9,10.42
5395,6,PhD,4.8,1.6,8.0,7.0
5396,7,PhD,5.0,2.7,7.1,7.9
5397,5,High School,5.7,1.0,10.8,10.03
5398,7,High School,0.9,0.5,7.7,9.54
5399,10,PhD,3.0,2.1,8.0,6.28
5400,10,Bachelors,3.5,1.6,8.5,8.18
5401,10,Masters,2.0,2.6,8.6,10.3
5402,8,PhD,5.0,0.2,8.5,10.35
5403,3,High School,4.6,2.5,9.0,9.13
5404,8,Masters,4.3,0.9,10.9,8.4
5405,9,High School,6.0,2.0,10.9,7.75
5406,11,Bachelors,1.6,0.1,10.8,11.25
5407,10,Masters,4.4,1.8,6.6,8.03
5408,10,Bachelors,3.3,2.2,10.8,8.47
5409,9,Bachelors,1.9,1.1,6.7,7.43
5410,4,Bachelors,1.0,0.6,6.7,7.97
5411,3,PhD,5.4,1.6,11.7,9.62
5412,4,High School,3.6,2.5,10.9,8.49
5413,8,Masters,4.9,1.0,9.3,7.43
5414,4,PhD,3.3,0.8,11.2,7.41
5415,6,High School,1.3,0.8,11.9,10.78
5416,5,PhD,2.0,2.8,9.7,8.98
5417,8,High School,2.3,1.1,9.7,9.22
5418,10,Masters,5.8,0.0,10.5,9.46
5419,8,Masters,0.0,2.3,7.4,8.87
5420,4,Masters,5.9,2.1,7.0,7.14
5421,7,Masters,5.9,0.4,10.6,8.37
5422,8,High School,6.0,3.0,8.1,8.0
5423,11,PhD,2.9,1.8,6.8,8.93
5424,8,Masters,5.8,1.5,7.9,7.76
5425,7,Masters,2.4,1.1,8.2,7.59
5426,3,Masters,0.2,2.7,11.8,11.54
5427,7,Bachelors,1.3,0.7,10.2,10.26
5428,7,Masters,5.7,0.9,9.2,6.47
5429,8,Masters,0.1,0.4,11.8,11.35
5430,9,High School,3.3,2.3,11.4,9.95
5431,6,Bachelors,0.5,1.8,9.1,9.36
5432,9,High School,1.7,1.8,11.4,10.77
5433,7,PhD,0.5,0.7,8.4,7.9
5434,8,Bachelors,5.2,2.0,7.4,8.47
5435,6,High School,3.5,2.3,7.4,7.57
5436,10,High School,5.4,1.1,10.0,6.78
5437,11,PhD,4.1,2.4,9.0,7.5
5438,4,PhD,5.8,1.0,10.0,8.71
5439,6,Masters,3.1,2.3,10.1,8.16
5440,10,Masters,3.8,0.1,6.1,8.32
5441,10,Bachelors,3.5,1.7,6.3,8.52
5442,11,Bachelors,2.9,2.9,9.2,10.3
5443,5,PhD,5.1,2.9,7.1,7.81
5444,3,Bachelors,3.9,0.8,9.8,8.64
5445,11,Masters,4.8,1.3,9.3,6.96
5446,3,PhD,4.7,0.2,9.5,8.92
5447,5,High School,1.1,2.6,7.8,9.06
5448,5,PhD,3.9,1.7,9.8,9.22
5449,11,Bachelors,1.2,1.2,11.0,11.21
5450,3,Masters,3.5,0.3,12.0,8.58
5451,9,Masters,4.1,2.8,11.0,9.29
5452,4,High School,6.0,1.6,9.3,8.33
5453,9,High School,0.2,0.8,7.2,7.14
5454,3,PhD,0.5,1.1,10.1,9.08
5455,10,Masters,0.5,0.8,11.6,10.27
5456,4,High School,2.4,1.8,7.3,7.65
5457,5,High School,4.9,2.8,7.5,9.17
5458,10,PhD,5.1,2.6,6.9,6.01
5459,5,PhD,4.4,1.4,10.4,9.82
5460,3,Masters,5.4,2.5,8.4,8.69
5461,11,Bachelors,1.9,1.3,6.4,7.0
5462,10,Bachelors,0.5,0.8,11.2,8.7
5463,6,Masters,0.3,3.0,9.3,7.48
5464,10,Bachelors,5.1,0.9,8.0,6.65
5465,7,Masters,4.4,1.0,8.1,8.71
5466,5,Masters,4.2,3.0,7.7,8.08
5467,3,High School,2.0,0.4,8.7,9.36
5468,7,Bachelors,2.3,2.3,8.0,7.81
5469,8,Masters,5.7,2.8,9.3,9.13
5470,6,Bachelors,0.4,1.5,10.6,8.89
5471,9,Bachelors,4.6,0.0,10.0,7.11
5472,5,PhD,1.9,1.1,7.8,7.96
5473,9,Bachelors,0.2,0.3,9.2,8.07
5474,3,Masters,4.5,1.2,11.0,7.32
5475,9,High School,2.0,2.4,6.4,7.7
5476,3,Bachelors,4.3,1.3,6.5,7.24
5477,3,Masters,4.2,1.3,9.3,9.54
5478,4,PhD,3.2,1.7,9.8,9.73
5479,4,Bachelors,4.7,1.7,7.3,8.71
5480,6,High School,3.5,2.6,10.5,10.0
5481,3,Bachelors,1.7,0.9,9.9,9.22
5482,6,Masters,4.4,2.5,11.5,8.24
5483,4,Bachelors,3.5,1.7,7.0,7.76
5484,6,Bachelors,0.1,0.9,10.5,10.05
5485,6,PhD,5.4,0.9,6.5,8.25
5486,11,Bachelors,3.3,1.1,9.4,9.12
5487,11,High School,5.2,1.9,9.3,9.49
5488,3,Bachelors,5.3,0.7,8.3,6.44
5489,7,PhD,2.7,2.8,11.1,9.41
5490,9,Masters,3.0,1.7,6.0,7.74
5491,6,Bachelors,2.5,2.8,9.1,10.14
5492,7,Bachelors,2.7,0.1,7.3,7.26
5493,4,PhD,5.4,1.0,10.5,8.34
5494,5,PhD,4.7,0.1,6.3,7.3
5495,9,PhD,0.8,0.8,11.0,8.35
5496,9,Bachelors,3.7,2.6,11.0,11.05
5497,6,High School,6.0,0.1,11.0,7.35
5498,3,PhD,3.6,1.3,6.9,5.51
5499,3,Masters,4.7,0.4,9.8,8.11
5500,6,Bachelors,4.6,1.3,6.1,8.61
5501,6,Masters,2.1,2.5,11.1,10.36
5502,8,Masters,2.2,1.9,10.3,10.0
5503,9,High School,4.3,2.2,9.2,8.52
5504,11,Masters,3.0,1.0,10.4,8.71
5505,11,PhD,3.4,2.8,6.6,6.26
5506,7,PhD,4.3,2.1,9.2,6.19
5507,5,Bachelors,4.7,1.3,7.7,7.73
5508,5,High School,1.6,1.3,11.8,11.1
5509,8,High School,0.9,2.8,11.1,10.44
5510,3,Masters,1.8,1.7,10.4,9.93
5511,9,High School,3.0,2.1,11.6,11.25
5512,5,Masters,2.1,1.3,8.1,8.54
5513,7,Masters,3.4,0.7,11.4,8.97
5514,9,High School,0.3,2.2,8.0,7.98
5515,9,Bachelors,3.1,1.8,10.4,11.1
5516,11,Masters,2.2,1.5,10.4,9.7
5517,3,PhD,3.2,1.9,6.1,6.43
5518,5,PhD,2.5,0.6,8.2,6.79
5519,11,High School,1.7,2.4,6.1,9.07
5520,10,High School,5.4,2.8,12.0,8.52
5521,4,Masters,1.1,2.7,6.7,10.12
5522,10,Masters,4.1,1.0,9.3,5.44
5523,10,PhD,5.5,1.2,10.7,9.96
5524,4,Masters,3.2,2.4,7.2,8.45
5525,10,PhD,5.3,1.8,8.9,8.16
5526,5,Masters,0.7,1.6,9.6,9.0
5527,9,Bachelors,3.0,2.8,7.0,9.93
5528,11,Bachelors,2.7,1.6,10.7,9.93
5529,6,PhD,0.0,1.5,7.8,7.67
5530,8,Bachelors,2.7,0.1,7.3,5.69
5531,11,Bachelors,2.2,0.2,9.3,8.52
5532,7,High School,4.0,0.0,8.5,7.6
5533,3,Masters,5.6,2.7,11.5,7.77
5534,5,High School,0.5,1.2,11.3,9.72
5535,11,PhD,2.0,1.4,8.9,8.01
5536,5,High School,2.7,2.5,8.2,8.5
5537,4,PhD,2.7,1.8,8.0,8.93
5538,6,Bachelors,4.6,1.8,7.6,9.15
5539,7,High School,2.7,0.9,9.3,9.36
5540,9,Bachelors,0.2,2.5,10.8,9.31
5541,9,Masters,4.3,0.5,7.9,7.82
5542,11,Bachelors,5.3,0.2,7.1,6.9
5543,10,Masters,3.1,0.6,8.9,6.79
5544,4,Bachelors,3.5,0.8,6.4,7.5
5545,10,High School,1.0,0.8,10.2,10.98
5546,10,High School,1.3,2.0,9.1,9.01
5547,7,Bachelors,1.4,0.7,9.0,6.94
5548,5,PhD,2.6,2.0,7.8,8.23
5549,11,PhD,5.6,0.3,11.4,7.32
5550,9,Masters,3.1,0.4,6.5,7.96
5551,3,Masters,1.2,1.5,11.2,10.21
